,Unnamed: 0,userid,username,screen_name,followers_count,friends_count,tweet_text,url,latitude,longitude,created_at,retweet_count,hashtags,clean_text,neg,neu,pos,compound
0,12,98108739,lennert,lennertversteeg,204,896,"nu voor het eggie! (@ lenny's home in københavn, capital region) https://t.co/qhw0wyrbbj",https://www.swarmapp.com/c/cv2h8crmzeu,55.65586896,12.55113383,1528110598792,0,,nu voor het eggie  lennys home in københavn capital region  t coqhwwyrbbj,0.0,1.0,0.0,0.0
1,13,197628678,copenhagen weather,copenhagendk,56,101,"current weather in copenhagen: clear sky, 23°c
53% humidity, wind 6kmh, pressure 1009mb",b'',55.67,12.55,1528110617268,0,,current weather in copenhagen clear sky c  humidity wind kmh pressure mb,0.159,0.652,0.188,0.1027
2,135,197628678,copenhagen weather,copenhagendk,56,101,"clear sky -&gt; scattered clouds
temperature up 23°c -&gt; 24°c
humidity down 53% -&gt; 50%",b'',55.67,12.55,1528118649054,0,,clear sky gt scattered clouds temperature up c gt c humidity down  gt ,0.0,0.44,0.56,0.7845
3,171,3458970387,taphouse watcher,taphousewatcher,68,2,new on tap 23 | bernard světlý ležák 12° | 4.7% czech pilsner (světlý) | bernard | 🇨🇿 | untappd: 3.22,b'',55.6762,12.5715,1528120563075,0,,new on tap   bernard světlý ležák    czech pilsner světlý  bernard    untappd ,0.0,1.0,0.0,0.0
4,187,176961840,zeynep kıtay,zeynepkitay,215,472,i'm at guinness world records museum in københavn k https://t.co/cqlgb3s3bl,https://www.swarmapp.com/c/e6yem7zve0m,55.68020807,12.58385375,1528121811808,0,,im at guinness world records museum in københavn k  t cocqlgbsbl,0.0,1.0,0.0,0.0
5,206,98108739,lennert,lennertversteeg,204,896,..... (@ amager frisør salon) https://t.co/k9osvlyaki,https://www.swarmapp.com/c/1ur7vymsqg4,55.65999319,12.60546692,1528123098744,0,,  amager frisør salon  t cokosvlyaki,0.0,1.0,0.0,0.0
6,211,147914621,chris murphy,chmurphy,2525,713,"i'm at copenhagen airport - @cphairports in kastrup, hovedstaden https://t.co/5qjsob0ua2",https://www.swarmapp.com/c/kctlqhqudt0,55.62834727,12.64663696,1528123220690,0,,im at copenhagen airport  in kastrup hovedstaden  t coqjsobua,0.0,1.0,0.0,0.0
7,223,176961840,zeynep kıtay,zeynepkitay,215,472,"i'm at strøget in københavn, hovedstaden https://t.co/jsyzy4k2ka",https://www.swarmapp.com/c/1itwyulwoxt,55.67866604,12.57708997,1528124226052,0,,im at strøget in københavn hovedstaden  t cojsyzykka,0.0,1.0,0.0,0.0
8,252,3458970387,taphouse watcher,taphousewatcher,68,2,new on tap 9 | siren / wiper &amp; true wilde geest | 7.2% brett ipa | siren | 🇬🇧 | untappd: 3.77,b'',55.6762,12.5715,1528125543404,0,,new on tap   siren  wiper amp true wilde geest   brett ipa  siren    untappd ,0.0,0.811,0.189,0.4215
9,259,2548481887,bikeindex usa,stolenbikesus,433,186,stolen - red principia vola  https://t.co/zy0rnjbwhe https://t.co/wyvwyxwozp,https://bikeindex.org/bikes/395841,55.6727611,12.5649245,1528126088747,0,,stolen red principia vola  t cozyrnjbwhe  t cowyvwyxwozp,0.39,0.61,0.0,-0.4939
10,287,55203383,martin d. lorensen,martinlorensen,73,176,i just finished skating 4.48 km in 1h:12m:05s with #endomondo #endorphins https://t.co/zwcdrr5sd1,https://goo.gl/wmcsy8,55.6897718,12.5199626,1528127709081,0,"['endomondo', 'endorphins']",i just finished skating  km in hms with #endomondo #endorphins  t cozwcdrrsd,0.0,1.0,0.0,0.0
11,297,71486301,bo zarp,bozarp,45,84,😅🚴‍♂️. i just finished mountain biking 26.42 km in 1h:22m:52s with #endomondo #endorphins https://t.co/jxvoncmw5y,https://goo.gl/oqi5pp,55.647067500000006,12.502726800000001,1528128306990,0,"['endomondo', 'endorphins']", i just finished mountain biking  km in hms with #endomondo #endorphins  t cojxvoncmwy,0.0,1.0,0.0,0.0
12,320,39966343,mihai alexe,mihai_alexe,25,24,kort løbetur. i just finished running 6.78 km in 36m:51s with #endomondo #endorphins https://t.co/1ioo6mx9k7,https://goo.gl/kcezev,55.64161,12.5724103,1528129790970,0,"['endomondo', 'endorphins']",kort løbetur i just finished running  km in ms with #endomondo #endorphins  t coioomxk,0.0,1.0,0.0,0.0
13,346,237727717,per seung vinther,chungseungduk,158,258,"i'm at sakura in copenhagen, denmark https://t.co/b6w5yugtza",https://www.swarmapp.com/c/jwcvwiofzop,55.68222986,12.58011554,1528131088095,0,,im at sakura in copenhagen denmark  t cobwyugtza,0.0,1.0,0.0,0.0
14,381,3922921,steve portigal 🇨🇦🇺🇸,steveportigal,14605,3682,"(we haven't seen ugly delicious yet) (@ bæst in copenhagen, capital region) https://t.co/2ntro73dqz",https://www.swarmapp.com/c/fcnmmj74wwh,55.692211,12.55587,1528132431808,0,,we havent seen ugly delicious yet  bæst in copenhagen capital region  t controdqz,0.191,0.637,0.172,-0.0762
15,425,1592803478,leif romanoff,rustbunken,5,5,i just finished walking 5.97 km in 1h:24m:50s with #endomondo #endorphins https://t.co/tgab1hkrxi,https://goo.gl/n5yzgt,55.67703100000001,12.540629,1528134931070,0,"['endomondo', 'endorphins']",i just finished walking  km in hms with #endomondo #endorphins  t cotgabhkrxi,0.0,1.0,0.0,0.0
